"公司名称","职位名称","职位分类","职位类别","工作地区","岗位职责","任职资格","专业","学历","工作经验","语言要求","语言等级","月薪","邮编","最近更新日期"
"10900000-0000-0000-0000-000000085104","普工","其他","正式","高新区","行动电话金属/塑料零组件、导光板与背光模块、塑料光学镜片、汽车用结构性零组件、通讯设备塑料零组件、电池零组件、模具及射出成型机设计制造与销售。","身体健康，无案底，会听写26个字母，上六休一，12小时制两班倒，具体视生产情况而定","电子信息类","小学","一年以上","其他","熟练","4000","221300","22/11/2017 14:09:31.693"
"10900000-0000-0000-0000-000000000307","操作工","技工","正式","高新区","两班运转，上二休二, 12小时制; 
2天白班 + 2天休息 + 2天白班 + 2天休息 + 2天夜班 + 2天休息 + 2天夜班 + 2天休息 
早班：6:45-18:45，晚班：18:45-6:45。","- 身体健康，无传染性疾病，矫正视力0.7以上，手眼协调配合； 
- 年满18周岁，有责任心和上进心，具有团队合作精神； 
- 初中、高中、中专、大专同等学历，有基本的英文能力，至少要会看26个英文字母； 
- 工作时需穿戴工作帽、工作服、口罩和手套，站立工作； 
- 目检员需看显微镜，坐着工作。

公司地址：无锡新加坡工业园行创三路8号 
联系电话：0510-81160367
公交路线：火车站沿线可乘坐31,35,35路大站车到相关地点下车即可： 
1）31路 生活中心站下；2）35路大站车，36路，93路，107路，756路，767路至 阿尔卑斯站下。","电子信息类","初中","一年以上","英语","一般","3000","214028","16/3/2018 14:40:06.157"
"10900000-0000-0000-0000-000000027871","行车工（集装箱）","其他[工程/机械/能源类]","正式","高新区","1、熟悉行车性能，懂得设备基本原理，操作熟练；
2、行车出现故障时，配合维修人员处理设备故障；
3、严格遵守“设备管理制度”、认真做好设备点检、维护及清洁工作；
4、严格遵守安全操作规程，保证安全生产；
5、完成领导交办其他各项工作。
","1、性别不限，年龄30-45周岁，身体健康，无近视和高血压等不适合该岗位的疾病；
2、吃苦耐劳，服从领导工作安排；
3、持有行车作业证，3年以上行吊操作经验；
4、有集装箱吊箱操作相关经验者或家住新安、硕放附件优先。

（此岗位为下属子公司招聘）","交通运输类","初中","三年以上","英语","一般","3000","214028","13/10/2015 15:20:50.737"
"10900000-0000-0000-0000-000000018087","数控铣工、车工","车工/磨工/铣工/冲压工/锣工","正式","无锡市"," 镗铣床操作工、 龙门铣床操作工（龙门动梁式多功能铣床）、立车操作工（荣田立车）、 卧加操作工（斗山卧式加工中心）、龙门立加操作工（龙门五面体加工中心）若干名。

要求：男性，高中（中专）或同等以上学历，18-40岁；
有3~4年同类工作经验。

工作地点：宜兴","1、 公司食堂提供工作餐补贴（早班5元/天、中班6元/天、晚班7元/天），餐贴费会在次月计入员工餐卡内。
2、 公司提供集体宿舍，水电费自理。
3、 法定节假日根据工龄发放购物卡，春节开门红包。
4、 每年健康体检一次。","机械类","初中","三年以上","英语","一般","4000","214191","30/3/2015 10:05:44.183"
"10900000-0000-0000-0000-000000018087","维修工","技工","正式","无锡市","1.按时完成计划维修保养工作，及时处理突发故障及改善工作，保证生产设备正常运行。
2.遵守公司的各项规章制度
3.按时完成设备的年度、月度维护保养工作计划并填写维修保养记录簿，保证设备的正常运转
4.按周期完成所分管设备的巡检任务并填写巡检记录表，并督促点检的执行情况
5.及时完成部门安排的检修任务
6.保质保量完成各部门提出的请修任务
7.协助生产部门做好设备的改造、改进工作、保证设备发挥其最大潜能
8.负责全厂新增设备安装、调试工作的具体实施
9.协助生产部门排除生产过程中出现的突发事件，保证生产的正常进行
10.保持好工作场所的卫生
11.正确穿戴劳保防护用品，并做好同班组同岗位人员的监管工作。
","1.二年以上机械维修工作经历
2.必备的钳工知识，基本的电气原理
3.具备高度的责任心、敬业精神和吃苦耐劳精神；
4.能够适应加班；
5.工作积极主动，效率高，执行力强。
","机械类","初中","一年以上","英语","一般","3500","214191","28/3/2016 15:18:23.107"
"10900000-0000-0000-0000-000000086416","其他[其他]","其他[其他]","正式","青岛市"," 1.操作工
"," 1.初中以上学历，年龄： 18-40周岁；男性。
   2.视力正常，无色盲、色弱，懂简单英文字母，身体健康，有体检合格报告、有效二代身份证。
3.吃苦耐劳，能倒班（公司实行两班制），遵守厂规厂纪，服从工作安排。
","机械类","初中","一年以上","其他","熟练","4200","266109","12/6/2014 16:19:17.787"
"10900000-0000-0000-0000-000000081566","操作工","其他[生产/营运类]","正式","高新区","能够服从领导安排、诚实守信、吃苦耐劳。","1.年龄40周岁以下男性4名、女性2名（身体健康者）；
2.初中以上学历，机械及电子自动化专业优先，手脚灵活，能熟练操作机械设备；
3.有责任心，为人诚实，具有能吃苦耐劳的精神,语言表达清晰。
4.交通自理。
男员工：基本工资2500元+300元岗位补贴，转正后基本工资2500元+600元岗位补贴+300元全勤奖；
女员工：基本工资2200元，转正后基本工资2200元+300元全勤奖。

所有员工发放夏季高温费、员工生日券、节假日福利卡；
每年一次集体旅游、年度体检等福利。
","机械类","初中","一年以上","其他","一般","3400","214142","9/4/2018 08:41:03.91"
"10900000-0000-0000-0000-000000035784","加工中心技术员","普工","正式","高新区","负责公司加工中心的1编程、2调试、3操机","熟悉法兰克系统加工中心、电脑或手动编程；能根据设计图纸的要求，制定出合理可行的工艺加工过程，会设计工装夹具和带班经验的优生。
工作时间：6天8小时，有加班时为12小时， 早班和晚班轮流。如果想体现自己人生价值的最大化，我想我们的团队将是您的第一选择。
","机械类","初中","应届毕业生","英语","熟练","5000","214112","12/2/2015 07:54:22.06"
"10900000-0000-0000-0000-000000089814","客服专员/助理(非技术)","客服专员/助理(非技术)","正式","其他","1、接受客户咨询，记录客户咨询、投诉内容，按照相应流程给予客户反馈。
2、能及时发现来电客户的需求及意见，并记录整理及汇报。
3、为客户提供完整准确的方案及信息，解决客户问题，提供高质量服务。
4、良好的工作执行力，严格按规范及流程进行工作或相关操作。
5、与同事或主管共享信息，进行知识积累，提供流程改善依据。","1.男女不限，年龄18——27岁；
2.初中以上学历；
3.有良好的沟通技巧和说服能力，能承受较大的工作压力；
4.有一定的电脑运用基础。打字要求45字/分钟。
","公共管理类","初中","应届毕业生","其他","一般","6000","300380","25/12/2017 10:46:40.077"
"10900000-0000-0000-0000-000000016502","生产操作工","其他[化工类]","正式","高新区","工作内容：
1.	负责车间生产日常操作，主要生产工艺为DCS控制，包括熔解、冷却、配料、过滤、包装等工序。
2.	按照生产操作规程控制工艺参数，保证产品质量稳定。
3.	填写批记录及交班记录。
4.	做好车间5S。
5.	配合班长及其他员工完成车间生产任务。
","职位要求：
*  高中或以上学历；
*  具有化工方面学历或有化工方面工作经验优先；
*  较好的合作精神。
","化学类","高中","一年以上","其他","一般","4499","214028","11/9/2017 17:46:05.723"
