"序列号","注册资本万","设立日期","企业类型","行业类别","经营范围","注册地址","企业状态","注册币种"
"82e54fc3be6ef7794fc2","NULL",,,,,"无锡市新区清源路18号兴业楼A-510","在业",
"45b0565d12937f951887","NULL",,,,,"无锡太湖国际科技园独立研发园菱湖大道180号-2","在业",
"af4e8a8064d35fbf5e39","NULL",,,,,"无锡市国家高新技术产业开发区（新吴区）长江南路5-8号","在业",
"689d7135720b4bdb987a","NULL",,,,,"无锡国家高新技术产业开发区A区52号地块17-B厂房","在业",
"94975f8168071d6f99b6","NULL",,,,,"新区华友东路B-11号","在业",
"8f2dce5d52e4368ddf0d","NULL",,,,,"无锡新吴区长江路16号10楼","在业",
"9044f16fc6108b7b875a","NULL",,,,,"无锡市新区硕放薛典路以西、沪宁高速公路以南、经一路以北地块","在业",
"2ea4c23df710ff409b18","NULL",,,,,"无锡新区锡霞路1号","在业",
"37ca566d7736226cd546","NULL",,,,,"NULL","在业",
"8563db43d1d3c9603bc8","NULL",,,,,"NULL","在业",
"4743f179405d1fc84e0e","NULL",,,,,"NULL","在业",
"907e6dd6e28fe383b508","NULL",,,,,"无锡新区黄山路6号","在业",
"bc8eeb3d1442de84c14f","NULL",,,,,"无锡新区江苏软件外包园处子座B栋4-6层","在业",
"ee25cd5fe462ee8f8941","NULL",,,,,"无锡国家高新技术产业开发区93号地块科技产业园A4标准厂房","在业",
"a28dbeb4329814c25520","NULL",,,,,"无锡市新吴区综合保税操作中心A区新都路18号","在业",
"8cb05258c16d88669e25","NULL","2017-09-25","公司","航空运输业",,"无锡市高新区空港七路一号","在业","人民币"
"09c6577e920ca20576e0","NULL","2017-09-25","公司","内燃机及配件制造",,"无锡新区华山路8号","在业","人民币"
"38b9d96a8a61ae4222ff","NULL",,,,,"无锡市新区新荣路17号","在业",
"22e607e93ce6965d0c9b","NULL",,,,,"无锡新区长江南路9号","在业",
"9e262b0453ce3b7383d4","9932","2001-12-28","外商投资企业","通用设备制造业","精密机械产品、汽车零部件、汽车模具、夹具、精冲模、精密型腔模、模具标准件的生产；大中型电子计算机、便携式微型计算机、高档服务器的制造；大容量光、磁盘驱动器及其部件的开发与制造；移动通讯系统（含GSM、CDMA、DCS1800、PHS、DECT、IMT2000等）手机、基站、交换设备技术及数字集群系统设备制造（不含发射装置，不含卫星电视接收系统）；数字照相机及关键件的开发生产；新型打印装置（激光、喷墨打印机）制造；光纤、计算机网络产品、微电子产品的研究开发设计生产。（上述项目不含限制项目及禁止项目）","无锡国家高新技术产业开发区92-B地块","在业","人民币"
