Province,Total,dis_code
北京市,91.6,110000
天津市,93,120000
河北省,84.1,130000
山西省,93,140000
内蒙古自治区,85.9,150000
辽宁省,89.7,210000
吉林省,87.8,220000
黑龙江省,87.8,230000
上海市,97.1,310000
江苏省,91.2,320000
浙江省,93.7,330000
安徽省,91.7,340000
福建省,88.3,350000
江西省,91.6,360000
山东省,91.5,370000
河南省,91.5,410000
湖北省,94.2,420000
湖南省,84.3,430000
广东省,95.9,440000
广西壮族自治区,86.9,450000
海南省,90.3,460000
四川省,84.2,510000
贵州省,81.5,520000
云南省,89.1,530000
西藏自治区,76.4,540000
重庆市,92.7,500000
陕西省,87.2,610000
甘肃省,90.6,620000
青海省,84.5,630000
宁夏回族自治区,87.8,640000
新疆维吾尔自治区,82.5,650000
徐州市,94.9,320300
连云港市,95.5,320700
宿迁市,87.2,321300
淮安市,87.8,320800
盐城市,85.1,320900
扬州市,94.3,321000
泰州市,94.3,321200
南通市,87.8,320600
南京市,90.4,320100
镇江市,94.3,321100
常州市,94.9,320400
无锡市,95.2,320200
苏州市,89.1,320500
江阴市,92.3,320281
惠山区,92.4,320206
锡山区,86.4,320205
梁溪区,93,320213
新吴区,84,320214
滨湖区,97.4,320211
宜兴市,94.3,320282
