area_id,value
110000,42
120000,35
130000,79.5
140000,35
150000,70.5
210000,51.5
220000,61
230000,61
310000,14.5
320000,44
330000,31.5
340000,41.5
350000,58.5
360000,42
370000,42.5
410000,42.5
420000,29
430000,78.5
440000,20.5
450000,65.5
460000,48.5
510000,79
520000,92.5
530000,54.5
540000,118
500000,36.5
610000,64
620000,47
630000,77.5
640000,61
650000,87.5
320300,25.5
320700,22.5
321300,64
320800,61
320900,74.5
321000,28.5
321200,28.5
320600,61
320100,48
321100,28.5
320400,25.5
320200,24
320500,54.5
320281,38.5
320206,38
320205,68
320213,35
320214,80
320211,13
320282,28.5
