area_id,health,city,rank,value,id
310000,97.1,上海市,1,当前选择：上海市，排名：1/31,1
440000,95.9,广东省,2,当前选择：广东省，排名：2/31,2
420000,94.2,湖北省,3,当前选择：湖北省，排名：3/31,3
330000,93.7,浙江省,4,当前选择：浙江省，排名：4/31,4
120000,93,天津市,5,当前选择：天津市，排名：5/31,5
140000,93,山西省,6,当前选择：山西省，排名：6/31,6
500000,92.7,重庆市,7,当前选择：重庆市，排名：7/31,7
340000,91.7,安徽省,8,当前选择：安徽省，排名：8/31,8
110000,91.6,北京市,9,当前选择：北京市，排名：9/31,9
360000,91.6,江西省,10,当前选择：江西省，排名：10/31,10
370000,91.5,山东省,11,当前选择：山东省，排名：11/31,11
410000,91.5,河南省,12,当前选择：河南省，排名：12/31,12
320000,91.2,江苏省,13,当前选择：江苏省，排名：13/31,13
620000,90.6,甘肃省,14,当前选择：甘肃省，排名：14/31,14
460000,90.3,海南省,15,当前选择：海南省，排名：15/31,15
210000,89.7,辽宁省,16,当前选择：辽宁省，排名：16/31,16
530000,89.1,云南省,17,当前选择：云南省，排名：17/31,17
350000,88.3,福建省,18,当前选择：福建省，排名：18/31,18
220000,87.8,吉林省,19,当前选择：吉林省，排名：19/31,19
230000,87.8,黑龙江省,20,当前选择：黑龙江省，排名：20/31,20
640000,87.8,宁夏回族自治区,21,当前选择：宁夏，排名：21/31,21
610000,87.2,陕西省,22,当前选择：陕西省，排名：22/31,22
450000,86.9,广西壮族自治区,23,当前选择：广西，排名：23/31,23
150000,85.9,内蒙古自治区,24,当前选择：内蒙古，排名：24/31,24
630000,84.5,青海省,25,当前选择：青海省，排名：25/31,25
430000,84.3,湖南省,26,当前选择：湖南省，排名：26/31,26
510000,84.2,四川省,27,当前选择：四川省，排名：27/31,27
130000,84.1,河北省,28,当前选择：河北省，排名：28/31,28
650000,82.5,新疆维吾尔自治区,29,当前选择：新疆，排名：29/31,29
520000,81.5,贵州省,30,当前选择：贵州省，排名：30/31,30
540000,76.4,西藏自治区,31,当前选择：西藏，排名：31/31,31
320700,95.5,连云港市,1,当前选择：连云港市，排名：1/14,32
320200,95.2,无锡市,2,当前选择：无锡市，排名：2/14,33
320300,94.9,徐州市,3,当前选择：徐州市，排名：3/14,34
320400,94.9,常州市,4,当前选择：常州市，排名：4/14,35
321000,94.3,扬州市,5,当前选择：扬州市，排名：5/14,36
321200,94.3,泰州市,6,当前选择：泰州市，排名：6/14,37
321100,94.3,镇江市,7,当前选择：镇江市，排名：7/14,38
320100,90.4,南京市,8,当前选择：南京市，排名：9/14,39
320500,89.1,苏州市,9,当前选择：苏州市，排名：10/14,40
320800,87.8,淮安市,10,当前选择：淮安市，排名：11/14,41
320600,87.8,南通市,11,当前选择：南通市，排名：12/14,42
321300,87.2,宿迁市,12,当前选择：宿迁市，排名：13/14,43
320900,85.1,盐城市,13,当前选择：盐城市，排名：14/14,44
320211,97.4,滨湖区,1,当前选择：滨湖区，排名：1/7,45
320282,94.3,宜兴市,2,当前选择：宜兴市，排名：2/7,46
320213,93,梁溪区,3,当前选择：梁溪区，排名：3/7,47
320206,92.4,惠山区,4,当前选择：惠山区，排名：4/7,48
320281,92.3,江阴市,5,当前选择：江阴市，排名：5/7,49
320205,86.4,锡山区,6,当前选择：锡山区，排名：6/7,50
320214,84,新吴区,7,当前选择：新吴区，排名：7/7,51
