id,lat,lng,value,label
1,31.559113,120.331665,40,6
2,31.56957,120.33484,38,6
3,31.560036,120.347,44,6
4,31.540354,120.351135,44,6
5,31.543335,120.3708,44,6
6,31.548674,120.36496,38,6
7,31.561876,120.37418,40,6
8,31.562012,120.38923,44,6
9,31.56853,120.40519,36,6
10,31.545462,120.41896,38,6
11,31.533993,120.435074,34,6
12,31.538225,120.43675,34,6
13,31.534916,120.43949,34,6
14,31.675276,120.35785,34,6
15,31.522818,120.43431,38,6
16,31.49891,120.43401,34,6
17,31.521282,120.44825,38,6
18,31.471127,120.440994,34,6
19,31.476477,120.445656,34,6
20,31.49406,120.48362,36,6
