id,lat,lng,value,radius
无锡招商城,31.559996,120.329889,30,5
无锡招商城,31.56006,120.331493,30,2
无锡招商城,31.558497,120.331589,,7
无锡招商城,31.558735,120.329873,,4
时代上河星汇天地,31.559128,120.32306,,7
招商城路,31.559109,120.325549,,5
施耐德电器,31.5591,120.32733,,5
招商城路,31.558295,120.326064,,7
中国电信新区分局江溪支局,31.570354,120.333429,,3
江苏省无锡市新吴区欧尚,31.569458,120.334701,,9
新吴区长江北路367号锦江苑,31.569138,120.333204,,7
新区哥伦布广场,31.567292,120.337024,,6
新吴区永乐东路东风家园,31.571214,120.327304,,5
梁溪区速8酒店(学前店)宁海里北区,31.578654,120.332153,,6
新吴区长江北路267-34号万科金域缇香-南区,31.562986,120.34036,,5
江苏省无锡市新吴区叙康路112号叙康里,31.565144,120.345028,,2
江苏省无锡市新吴区江海南路首创悦府,31.569194,120.345607,,3
无锡虹桥医院,31.560884,120.343804,,3
新吴区长江北路151号铭城花园,31.559348,120.342753,,5
新吴区金城东路世博广场,31.559238,120.344855,,5
江苏省无锡市新吴区叙康路178号,31.561159,120.346701,,6
新吴区金城东路12号长江国际·泓园,31.560721,120.349061,,6
江苏省无锡市新吴区机场路高架,31.562567,120.351593,,7
江苏省无锡市新吴区红旗路87号外商公寓,31.545215,120.354769,,6
江苏省无锡市新吴区长江北路2-11号李夹里,31.545215,120.356293,,6
江苏省无锡市新吴区旺庄路176号宝龙城市广场,31.539747,120.350971,,6
江苏省无锡市新吴区旺庄路152号宝龙城市广场,31.540488,120.35257,,7
江苏省无锡市新吴区长江1号,31.542454,120.35934,,8
江苏省无锡市新吴区旺庄科技创业中心大楼C座无锡科技创业园B,31.53849,120.36016,,8
江苏省无锡市新吴区百仕达大厦,31.546024,120.355933,,4
江苏省无锡市新吴区汉江北路24号里下甸村西陈巷62号,31.547926,120.359264,,2
江苏省无锡市新吴区春潮家具经营部,31.54778,120.364307,,4
江苏省无锡市新吴区春潮花园一区34号楼春潮花园1区,31.550267,120.365702,,2
江苏省无锡市新吴区春潮花园一区商业街34-36号春潮花园1区,31.549956,120.367805,,6
江苏省无锡市新吴区八房扬巷176号春潮花园二区北区,31.549334,120.372203,,5
江苏省无锡市新吴区泰山路155号春潮花园二区北区,31.546482,120.374371,,5
江苏省无锡市新吴区旺庄东路199-21号新都会(一至4期),31.551839,120.373254,,4
江苏省无锡市新吴区春潮花园二区北区二区192-194号春潮花园二区北区,31.543409,120.370594,,6
江苏省无锡市新吴区春潮花园二区108号楼春潮花园二区北区,31.544708,120.372975,,6
江苏省无锡市新吴区秦巷35号,31.541796,120.374939,,8
江苏省无锡市新吴区旺庄东路98-13号,31.541942,120.377965,,3
