id,dotid,lat,lng,value,info,type,name,label1,label2
1,1,31.544066,120.365782,109,区域1<br/>场地数量：109,ok,点1,7,0
2,2,31.540066,120.424782,19,区域2<br/>场地数量：19,ok,点2,7,0
3,3,31.530066,120.485782,5,区域3<br/>场地数量：5,ok,点3,7,0
4,4,31.475066,120.424782,12,区域4<br/>场地数量：12,ok,点4,7,0
5,5,31.475066,120.484782,34,区域5<br/>场地数量：34,ok,点5,7,0
6,6,31.544066,120.365782,109,区域1<br/>场地数量：109,ok,点1,7,1
7,7,31.540066,120.424782,0,区域2<br/>场地数量：19,ok,点2,7,1
8,8,31.530066,120.485782,0,区域3<br/>场地数量：5,ok,点3,7,1
9,9,31.475066,120.424782,0,区域4<br/>场地数量：12,ok,点4,7,1
10,10,31.475066,120.484782,0,区域5<br/>场地数量：34,ok,点5,7,1
11,11,31.544066,120.365782,0,区域1<br/>场地数量：109,ok,点1,7,2
12,12,31.540066,120.424782,19,区域2<br/>场地数量：19,ok,点2,7,2
13,13,31.530066,120.485782,0,区域3<br/>场地数量：5,ok,点3,7,2
14,14,31.475066,120.424782,0,区域4<br/>场地数量：12,ok,点4,7,2
15,15,31.475066,120.484782,0,区域5<br/>场地数量：34,ok,点5,7,2
16,16,31.544066,120.365782,0,区域1<br/>场地数量：109,ok,点1,7,3
17,17,31.540066,120.424782,0,区域2<br/>场地数量：19,ok,点2,7,3
18,18,31.530066,120.485782,5,区域3<br/>场地数量：5,ok,点3,7,3
19,19,31.475066,120.424782,0,区域4<br/>场地数量：12,ok,点4,7,3
20,20,31.475066,120.484782,0,区域5<br/>场地数量：34,ok,点5,7,3
21,21,31.544066,120.365782,0,区域1<br/>场地数量：109,ok,点1,7,4
22,22,31.540066,120.424782,0,区域2<br/>场地数量：19,ok,点2,7,4
23,23,31.530066,120.485782,0,区域3<br/>场地数量：5,ok,点3,7,4
24,24,31.475066,120.424782,12,区域4<br/>场地数量：12,ok,点4,7,4
25,25,31.475066,120.484782,0,区域5<br/>场地数量：34,ok,点5,7,4
26,26,31.544066,120.365782,0,区域1<br/>场地数量：109,ok,点1,7,5
27,27,31.540066,120.424782,0,区域2<br/>场地数量：19,ok,点2,7,5
28,28,31.530066,120.485782,0,区域3<br/>场地数量：5,ok,点3,7,5
29,29,31.475066,120.424782,0,区域4<br/>场地数量：12,ok,点4,7,5
30,30,31.475066,120.484782,34,区域5<br/>场地数量：34,ok,点5,7,5
