id,x,y,z,label
1,体育系统,5261,0,1
2,高等院校,540,0,1
3,中专中技,0,0,1
4,中小学,35258,0,1
5,教育系统,916,0,1
6,其他,82072,0,1
7,财政拨款,21486,0,2
8,体彩公益,500,0,2
9,单位自筹,41931,0,2
10,社会捐赠,152,0,2
11,其他,18503,0,2
12,财政拨款,14046,0,3
13,体彩公益,166,0,3
14,单位自筹,24832,0,3
15,社会捐赠,338,0,3
16,其他,9795,0,3
17,足球场,463,0,4
18,田径场,4613.8,0,4
19,运动场,10586.6,0,4
20,排球场,730.8,0,4
21,游泳池,2995.4,0,4
22,羽毛球,347,0,4
23,乒乓球,463,0,4
24,网球场,1082.6,0,4
25,篮球场,9542.8,0,4
26,财政拨款,25932.4,0,5
27,体彩公益,6.6,0,5
28,单位自筹,3536.2,0,5
29,社会捐赠,15.2,0,5
30,其他,774.2,0,5
31,篮球房,5778,0,6
32,羽毛球,4639.8,0,6
33,台球房,3780.8,0,6
34,跳水馆,3760,0,6
35,网球房,1082.6,0,6
36,田径馆,460,0,6
37,健身馆,9802.2,0,6
38,射击馆,2915,0,6
39,体育系统,5261,0,7
40,高等院校,540,0,7
41,中专中技,0,0,7
42,中小学,35258,0,7
43,教育系统,916,0,7
44,其他,82072,0,7
45,体育系统,5261,0,8
46,高等院校,540,0,8
47,中专中技,0,0,8
48,中小学,35258,0,8
49,教育系统,916,0,8
50,其他,82072,0,8
51,体育系统,5261,0,9
52,高等院校,540,0,9
53,中专中技,0,0,9
54,中小学,35258,0,9
55,教育系统,916,0,9
56,其他,82072,0,9
