id,x,y,label
1,场地面积,14705,1
2,建筑面积,3665.4,1
3,用地面积,18712.2,1
4,体育系统,29958.7,2
5,高等院校,1371.6,2
6,中专中技,0,2
7,中小学,390502.3,2
8,教育系统,26313,2
9,其他系统,369599.9,2
10,场地面积,14705,3
11,建筑面积,3665.4,3
12,用地面积,18712.2,3
13,高尔夫场,22500,4
14,运动场,119342,4
15,篮球场,103847,4
16,体育场,101231,4
17,田径场,82668,4
18,健身路径,14745,4
19,网球场,8724,4
20,排球场,9261,4
21,行政机关,19103,5
22,事业单位,151757,5
23,企业,94988,5
24,其他单位,424671,5
25,乒乓球馆,17526,6
26,健身馆,21940,6
27,篮球馆,9526,6
28,羽毛球馆,17623,6
29,游泳馆,15595,6
30,体育馆,3730,6
31,台球馆,11479,6
32,综合馆,24889,6
33,场地面积,14705,7
34,建筑面积,3665.4,7
35,用地面积,18712.2,7
36,场地面积,14705,8
37,建筑面积,3665.4,8
38,用地面积,18712.2,8
39,场地面积,14705,9
40,建筑面积,3665.4,9
41,用地面积,18712.2,9
