id,x,y,s,label
1,体育系统,81.1,1,1
2,高等院校,79.32,1,1
3,中专中技,66.67,1,1
4,中小学,6.96,1,1
5,教育系统,94.56,1,1
6,其他系统,30.52,1,1
7,体育系统,13.16,2,1
8,高等院校,6.21,2,1
9,中专中技,12.84,2,1
10,中小学,71.38,2,1
11,教育系统,3,2,1
12,其他系统,42.1,2,1
13,体育系统,5.7,3,1
14,高等院校,14.46,3,1
15,中专中技,20.4,3,1
16,中小学,21.6,3,1
17,教育系统,2.43,3,1
18,其他系统,27.24,3,1
19,体育系统,81.1,1,2
20,高等院校,79.32,1,2
21,中专中技,66.67,1,2
22,中小学,6.96,1,2
23,教育系统,94.56,1,2
24,其他系统,30.52,1,2
25,体育系统,13.16,2,2
26,高等院校,6.21,2,2
27,中专中技,12.84,2,2
28,中小学,71.38,2,2
29,教育系统,3,2,2
30,其他系统,42.1,2,2
31,体育系统,5.7,3,2
32,高等院校,14.46,3,2
33,中专中技,20.4,3,2
34,中小学,21.6,3,2
35,教育系统,2.43,3,2
36,其他系统,27.24,3,2
37,体育系统,81.1,1,3
38,高等院校,79.32,1,3
39,中专中技,66.67,1,3
40,中小学,6.96,1,3
41,教育系统,94.56,1,3
42,其他系统,30.52,1,3
43,体育系统,13.16,2,3
44,高等院校,6.21,2,3
45,中专中技,12.84,2,3
46,中小学,71.38,2,3
47,教育系统,3,2,3
48,其他系统,42.1,2,3
49,体育系统,5.7,3,3
50,高等院校,14.46,3,3
51,中专中技,20.4,3,3
52,中小学,21.6,3,3
53,教育系统,2.43,3,3
54,其他系统,27.24,3,3
55,体育场,11.11,1,4
56,田径场,12.96,1,4
57,运动场,3.56,1,4
58,游泳池,19.44,1,4
59,篮球场,44.22,1,4
60,足球场,42.86,1,4
61,体育场,62.22,2,4
62,田径场,59.26,2,4
63,运动场,82.52,2,4
64,游泳池,72.22,2,4
65,篮球场,37.26,2,4
66,足球场,7.14,2,4
67,体育场,26.67,3,4
68,田径场,27.78,3,4
69,运动场,13.92,3,4
70,游泳池,8.33,3,4
71,篮球场,18.52,3,4
72,足球场,50,3,4
73,体育系统,81.1,1,5
74,高等院校,79.32,1,5
75,中专中技,66.67,1,5
76,中小学,6.96,1,5
77,教育系统,94.56,1,5
78,其他系统,30.52,1,5
79,体育系统,13.16,2,5
80,高等院校,6.21,2,5
81,中专中技,12.84,2,5
82,中小学,71.38,2,5
83,教育系统,3,2,5
84,其他系统,42.1,2,5
85,体育系统,5.7,3,5
86,高等院校,14.46,3,5
87,中专中技,20.4,3,5
88,中小学,21.6,3,5
89,教育系统,2.43,3,5
90,其他系统,27.24,3,5
91,体育馆,17.64,1,6
92,游泳馆,38.95,1,6
93,篮球馆,7.92,1,6
94,羽毛球馆,22.13,1,6
95,乒乓球馆,22.13,1,6
96,健身房,50.19,1,6
97,体育馆,64.71,2,6
98,游泳馆,50.53,2,6
99,篮球馆,56.44,2,6
100,羽毛球馆,35.25,2,6
101,乒乓球馆,35.25,2,6
102,健身房,28.83,2,6
103,体育馆,17.65,3,6
104,游泳馆,10.52,3,6
105,篮球馆,35.64,3,6
106,羽毛球馆,42.62,3,6
107,乒乓球馆,42.62,3,6
108,健身房,20.98,3,6
109,体育系统,81.1,1,7
110,高等院校,79.32,1,7
111,中专中技,66.67,1,7
112,中小学,6.96,1,7
113,教育系统,94.56,1,7
114,其他系统,30.52,1,7
115,体育系统,13.16,2,7
116,高等院校,6.21,2,7
117,中专中技,12.84,2,7
118,中小学,71.38,2,7
119,教育系统,3,2,7
120,其他系统,42.1,2,7
121,体育系统,5.7,3,7
122,高等院校,14.46,3,7
123,中专中技,20.4,3,7
124,中小学,21.6,3,7
125,教育系统,2.43,3,7
126,其他系统,27.24,3,7
127,体育系统,81.1,1,8
128,高等院校,79.32,1,8
129,中专中技,66.67,1,8
130,中小学,6.96,1,8
131,教育系统,94.56,1,8
132,其他系统,30.52,1,8
133,体育系统,13.16,2,8
134,高等院校,6.21,2,8
135,中专中技,12.84,2,8
136,中小学,71.38,2,8
137,教育系统,3,2,8
138,其他系统,42.1,2,8
139,体育系统,5.7,3,8
140,高等院校,14.46,3,8
141,中专中技,20.4,3,8
142,中小学,21.6,3,8
143,教育系统,2.43,3,8
144,其他系统,27.24,3,8
145,体育系统,81.1,1,9
146,高等院校,79.32,1,9
147,中专中技,66.67,1,9
148,中小学,6.96,1,9
149,教育系统,94.56,1,9
150,其他系统,30.52,1,9
151,体育系统,13.16,2,9
152,高等院校,6.21,2,9
153,中专中技,12.84,2,9
154,中小学,71.38,2,9
155,教育系统,3,2,9
156,其他系统,42.1,2,9
157,体育系统,5.7,3,9
158,高等院校,14.46,3,9
159,中专中技,20.4,3,9
160,中小学,21.6,3,9
161,教育系统,2.43,3,9
162,其他系统,27.24,3,9
