id,lat,lng,value,label
1,31.56137,120.345534,45,6
2,31.566416,120.342444,45,6
3,31.571389,120.336092,45,6
4,31.570292,120.335062,45,6
5,31.563345,120.345534,45,6
6,31.559468,120.346993,45,6
7,31.562028,120.348624,45,6
8,31.573363,120.334633,45,6
9,31.571242,120.333947,45,6
10,31.574972,120.336264,45,6
11,31.539641,120.351288,45,6
12,31.54008,120.350966,45,6
13,31.540519,120.352361,45,6
14,31.539842,120.35191,45,6
15,31.541799,120.35352,45,6
16,31.542146,120.3547,45,6
17,31.542731,120.355365,45,6
18,31.548583,120.355172,45,6
19,31.549534,120.358605,45,6
20,31.546828,120.356717,45,6
21,31.548071,120.359893,45,6
22,31.545218,120.358691,45,6
23,31.548949,120.365558,45,6
24,31.551143,120.36324,45,6
25,31.549827,120.36839,45,6
26,31.552972,120.365987,45,6
27,31.553557,120.370364,45,6
28,31.555166,120.368733,45,6
29,31.546023,120.368819,45,6
30,31.548291,120.371566,45,6
31,31.544926,120.370793,45,6
32,31.54595,120.373711,45,6
33,31.543097,120.371823,45,6
34,31.544999,120.374827,45,6
35,31.555526,120.39053,45,6
36,31.555965,120.391904,45,6
37,31.557318,120.391217,45,6
38,31.558634,120.3892,45,6
39,31.55911,120.390444,45,6
40,31.560536,120.38817,45,6
41,31.562035,120.390316,45,6
42,31.561925,120.389672,45,6
43,31.562986,120.388942,45,6
44,31.562913,120.391389,45,6
45,31.564522,120.391989,45,6
46,31.566789,120.400529,45,6
47,31.568651,120.406838,45,6
48,31.568358,120.408125,45,6
49,31.549284,120.368062,45,6
50,31.550747,120.369263,45,6
51,31.552173,120.367375,45,6
52,31.553636,120.367633,45,6
53,31.555208,120.368491,45,6
54,31.556561,120.368877,45,6
55,31.547418,120.36892,45,6
56,31.548552,120.370637,45,6
57,31.549174,120.372525,45,6
58,31.54793,120.372096,45,6
59,31.548077,120.373512,45,6
60,31.546285,120.37231,45,6
61,31.545553,120.374628,45,6
62,31.543907,120.37171,45,6
63,31.542554,120.372139,45,6
64,31.541969,120.373212,45,6
65,31.542481,120.375829,45,6
66,31.540835,120.375829,45,6
67,31.542591,120.378876,45,6
68,31.542317,120.415867,45,6
69,31.542097,120.4187,45,6
70,31.545681,120.41724,45,6
71,31.54495,120.420159,45,6
72,31.547775,120.431925,45,6
73,31.547445,120.433856,45,6
74,31.545434,120.432741,45,6
75,31.542545,120.431668,45,6
76,31.537461,120.432998,45,6
77,31.541264,120.43523,45,6
78,31.539801,120.43892,45,6
79,31.535705,120.437032,45,6
80,31.534169,120.431711,45,6
81,31.53351,120.43523,45,6
82,31.532632,120.431711,45,6
83,31.532998,120.435916,45,6
84,31.535046,120.440551,45,6
85,31.537387,120.440637,45,6
86,31.539143,120.442268,45,6
87,31.537533,120.445701,45,6
88,31.5349,120.444585,45,6
89,31.544921,120.43583,45,6
90,31.543604,120.440207,45,6
91,31.546896,120.437375,45,6
92,31.54675,120.440036,45,6
93,31.543531,120.441924,45,6
94,31.542873,120.4451,45,6
95,31.546091,120.442782,45,6
96,31.522243,120.431023,45,6
97,31.521291,120.433856,45,6
98,31.505925,120.43377,45,6
99,31.50351,120.433513,45,6
100,31.474161,120.386649,45,6
101,31.475332,120.391026,45,6
102,31.478772,120.383387,45,6
103,31.477747,120.389052,45,6
104,31.479285,120.393944,45,6
105,31.471014,120.436441,45,6
106,31.469696,120.43893,45,6
107,31.469257,120.44039,45,6
108,31.471453,120.440218,45,6
109,31.472917,120.441849,45,6
110,31.475187,120.447428,45,6
111,31.475406,120.449831,45,6
112,31.478444,120.44893,45,6
113,31.479835,120.450131,45,6
114,31.479176,120.451376,45,6
115,31.478151,120.45335,45,6
116,31.477382,120.454723,45,6
117,31.476687,120.455281,45,6
118,31.479176,120.454251,45,6
119,31.479176,120.455925,45,6
120,31.480347,120.454337,45,6
121,31.477456,120.456826,45,6
122,31.490704,120.483047,45,6
123,31.490778,120.485451,45,6
124,31.493193,120.488197,45,6
125,31.495535,120.486996,45,6
126,31.494657,120.484421,45,6
127,31.493705,120.485536,45,6
128,31.493778,120.483562,45,6
