id,lat,lng,value,label
1,31.57936,120.313747,45,6
2,31.579999,120.315817,45,6
3,31.578391,120.313929,45,6
4,31.578848,120.315495,45,6
5,31.579999,120.319015,45,6
6,31.576343,120.313693,45,6
7,31.577348,120.31732,45,6
8,31.578555,120.320517,45,6
9,31.575392,120.316697,45,6
10,31.576471,120.32056,45,6
11,31.577056,120.324487,45,6
12,31.577476,120.328263,45,6
13,31.578208,120.330774,45,6
14,31.576983,120.330881,45,6
15,31.576233,120.329422,45,6
16,31.575977,120.32674,45,6
17,31.575722,120.324143,45,6
18,31.574862,120.321139,45,6
19,31.573619,120.319165,45,6
20,31.57329,120.316247,45,6
21,31.57318,120.313329,45,6
22,31.570328,120.314916,45,6
23,31.57106,120.318779,45,6
24,31.571901,120.323156,45,6
25,31.572998,120.324873,45,6
26,31.574168,120.329078,45,6
27,31.573071,120.334743,45,6
28,31.570585,120.331009,45,6
29,31.568281,120.326203,45,6
30,31.566526,120.322941,45,6
31,31.564478,120.319551,45,6
32,31.563089,120.317169,45,6
33,31.560602,120.322104,45,6
34,31.562723,120.326267,45,6
35,31.5651,120.331545,45,6
36,31.567769,120.335415,45,6
37,31.569414,120.338541,45,6
38,31.570636,120.34133,45,6
39,31.571989,120.346823,45,6
40,31.570161,120.345664,45,6
41,31.567821,120.343304,45,6
42,31.56665,120.339785,45,6
43,31.565773,120.336266,45,6
44,31.563579,120.331889,45,6
45,31.561604,120.32734,45,6
46,31.559008,120.325795,45,6
47,31.556192,120.330043,45,6
48,31.558277,120.333691,45,6
49,31.559301,120.337081,45,6
50,31.56091,120.340729,45,6
51,31.562299,120.345021,45,6
52,31.56442,120.347939,45,6
53,31.564493,120.352102,45,6
54,31.566175,120.356093,45,6
55,31.567638,120.360427,45,6
56,31.568186,120.36459,45,6
57,31.568406,120.368195,45,6
58,31.569795,120.371156,45,6
59,31.572245,120.372229,45,6
60,31.575133,120.372143,45,6
61,31.575572,120.374975,45,6
62,31.573707,120.376692,45,6
63,31.575791,120.374632,45,6
64,31.575279,120.379653,45,6
65,31.573342,120.382185,45,6
66,31.571184,120.384717,45,6
67,31.568954,120.386648,45,6
68,31.569795,120.383301,45,6
69,31.570124,120.379224,45,6
70,31.569722,120.374718,45,6
71,31.569283,120.370684,45,6
72,31.566395,120.372701,45,6
73,31.564749,120.369654,45,6
74,31.56431,120.366821,45,6
75,31.56336,120.363259,45,6
76,31.562409,120.358667,45,6
77,31.560507,120.355106,45,6
78,31.558679,120.349698,45,6
79,31.555827,120.351157,45,6
80,31.553084,120.353689,45,6
81,31.555059,120.342617,45,6
82,31.552316,120.344377,45,6
83,31.549098,120.346565,45,6
84,31.546903,120.348926,45,6
85,31.55685,120.3618,45,6
86,31.559812,120.368195,45,6
87,31.561421,120.371456,45,6
88,31.562445,120.373988,45,6
89,31.564639,120.37931,45,6
90,31.565809,120.383816,45,6
91,31.566211,120.388022,45,6
92,31.56676,120.391927,45,6
93,31.56665,120.396991,45,6
94,31.564931,120.399995,45,6
95,31.567454,120.403128,45,6
96,31.571623,120.404415,45,6
97,31.571842,120.409093,45,6
98,31.575681,120.407806,45,6
99,31.57835,120.404544,45,6
100,31.58175,120.404115,45,6
101,31.582116,120.40802,45,6
102,31.568222,120.404759,45,6
103,31.567418,120.408707,45,6
104,31.562774,120.405874,45,6
105,31.563432,120.402098,45,6
106,31.566101,120.396948,45,6
107,31.560872,120.393987,45,6
108,31.559593,120.386777,45,6
109,31.556009,120.393386,45,6
110,31.556119,120.386391,45,6
111,31.556045,120.382228,45,6
112,31.554948,120.376091,45,6
113,31.553303,120.370426,45,6
114,31.551072,120.364204,45,6
115,31.547744,120.358582,45,6
116,31.544818,120.352745,45,6
117,31.538783,120.343476,45,6
118,31.540246,120.354762,45,6
119,31.545403,120.370169,45,6
120,31.548768,120.375362,45,6
121,31.548914,120.378667,45,6
122,31.551254,120.385876,45,6
123,31.54639,120.393301,45,6
