lat,lng,id,label1,label2,type,value
31.543356,120.3405,201,2,1,1,1
31.553091,120.361501,202,2,1,1,1
31.553154,120.367103,203,2,1,1,1
31.543996,120.375284,204,2,1,1,1
31.561679,120.381709,205,2,1,1,1
31.559275,120.339609,206,2,1,1,1
31.567328,120.332733,207,2,1,1,1
31.561636,120.341343,208,2,1,1,1
31.566165,120.343374,209,2,1,1,1
31.565117,120.341607,210,2,1,1,1
31.563708,120.374421,211,2,1,1,1
31.55705,120.348942,212,2,1,1,1
31.545536,120.43825,213,2,1,1,1
31.549797,120.427574,214,2,1,1,1
31.4947,120.48823,215,2,1,1,1
31.548244,120.368431,216,2,1,1,1
31.568689,120.337106,217,2,1,1,1
31.476661,120.447853,218,2,1,1,1
31.476661,120.447853,219,2,1,1,1
31.462261,120.452202,220,2,1,1,1
31.46073,120.45395,221,2,1,1,1
31.462261,120.452202,222,2,1,1,1
31.545924,120.434644,223,2,1,1,1
31.53202,120.470008,224,2,1,1,1
31.496551,120.494425,225,2,1,1,1
31.495021,120.488254,226,2,1,1,1
31.524704,120.499069,227,2,1,1,1
31.550957,120.352778,228,2,1,1,1
31.551291,120.351898,229,2,1,1,1
31.557794,120.383799,230,2,1,1,1
31.473214,120.441898,231,2,1,1,1
31.568351,120.338061,232,2,1,1,1
31.47656,120.38144,233,2,1,1,1
31.568689,120.337106,234,2,1,1,1
31.478895,120.454933,235,2,1,1,1
31.478895,120.454933,236,2,1,1,1
31.48741,120.379722,237,2,1,1,1
31.545244,120.351297,238,2,1,1,1
31.55077,120.360741,239,2,1,1,1
31.458756,120.44294,240,2,1,1,1
31.486942,120.494639,241,2,1,1,1
31.548664,120.355506,242,2,1,1,1
31.578352,120.315376,243,2,1,1,1
31.507143,120.432852,244,2,1,1,1
31.57078,120.330883,245,2,1,1,1
31.566555,120.343271,246,2,1,1,1
31.56314,120.33542,247,2,1,1,1
31.529291,120.387447,248,2,1,1,1
31.54603,120.357583,249,2,1,1,1
31.482788,120.447485,250,2,1,1,1
31.531993,120.387418,251,2,1,1,1
31.547349,120.388705,252,2,1,1,1
31.488027,120.49953,253,2,1,1,1
31.47855,120.385047,254,2,1,1,1
31.569657,120.328388,255,2,1,1,1
31.572347,120.319994,256,2,1,1,1
31.547267,120.388896,257,2,1,1,1
31.566363,120.342706,258,2,1,1,1
31.544704,120.352622,259,2,1,1,1
31.543538,120.362311,260,2,1,1,1
31.561953,120.380076,261,2,1,1,1
,,,,,,
,,,,,,
31.493888,120.480234,264,2,1,1,1
,,,,,,
31.557208,120.389863,266,2,1,1,1
31.55603,120.371516,267,2,1,1,1
