id,money,area,value,url
1,1,1,3.健身路径，预计14万元，48平方米,
2,1,2,3.羽毛球场，预计4万元，212平方米,
3,1,3,3.排球场，预计17万元，308平方米,
4,1,4,3.门球场，预计34万元，483平方米,
5,1,5,3.网球场，预计10万元，545平方米,
6,1,6,3.篮球场，预计22万元，567平方米,
7,1,7,3.轮滑场，预计91万元，763平方米,
8,1,8,3.篮球馆，预计284万元，866平方米,
9,1,9,3.游泳馆，预计88万元，917平方米,
10,1,10,3.羽毛球馆，预计202万元，934平方米,
11,1,11,3.综合馆，预计474万元，2765平方米,
12,2,1,3.乒乓球馆，预计15万元，87平方米,
13,2,2,3.羽毛球场，预计4万元，212平方米,
14,2,3,3.排球场，预计17万元，308平方米,
15,2,4,3.门球场，预计34万元，483平方米,
16,2,5,3.网球场，预计10万元，545平方米,
17,2,6,3.篮球场，预计22万元，567平方米,
18,2,7,3.轮滑场，预计91万元，763平方米,
19,2,8,3.篮球馆，预计284万元，866平方米,
20,2,9,3.游泳馆，预计88万元，917平方米,
21,2,10,3.羽毛球馆，预计202万元，934平方米,
22,2,11,3.综合馆，预计474万元，2765平方米,
23,3,1,3.乒乓球馆，预计15万元，87平方米,
24,3,2,3.羽毛球场，预计4万元，212平方米,
25,3,3,3.排球场，预计17万元，308平方米,
26,3,4,3.门球场，预计34万元，483平方米,
27,3,5,3.网球场，预计10万元，545平方米,
28,3,6,3.篮球场，预计22万元，567平方米,
29,3,7,3.轮滑场，预计91万元，763平方米,
30,3,8,3.篮球馆，预计284万元，866平方米,
31,3,9,3.游泳馆，预计88万元，917平方米,
32,3,10,3.羽毛球馆，预计202万元，934平方米,
33,3,11,3.综合馆，预计474万元，2765平方米,
34,4,1,3.乒乓球馆，预计15万元，87平方米,
35,4,2,3.羽毛球场，预计4万元，212平方米,
36,4,3,3.排球场，预计17万元，308平方米,
37,4,4,3.门球场，预计34万元，483平方米,
38,4,5,3.网球场，预计10万元，545平方米,
39,4,6,3.篮球场，预计22万元，567平方米,
40,4,7,3.轮滑场，预计91万元，763平方米,
41,4,8,3.篮球馆，预计284万元，866平方米,
42,4,9,3.游泳馆，预计88万元，917平方米,
43,4,10,3.羽毛球馆，预计202万元，934平方米,
44,4,11,3.综合馆，预计474万元，2765平方米,
45,5,1,3.乒乓球馆，预计15万元，87平方米,
46,5,2,3.羽毛球场，预计4万元，212平方米,
47,5,3,3.排球场，预计17万元，308平方米,
48,5,4,3.门球场，预计34万元，483平方米,
49,5,5,3.网球场，预计10万元，545平方米,
50,5,6,3.篮球场，预计22万元，567平方米,
51,5,7,3.轮滑场，预计91万元，763平方米,
52,5,8,3.篮球馆，预计284万元，866平方米,
53,5,9,3.游泳馆，预计88万元，917平方米,
54,5,10,3.羽毛球馆，预计202万元，934平方米,
55,5,11,3.综合馆，预计474万元，2765平方米,
56,6,1,3.乒乓球馆，预计15万元，87平方米,
57,6,2,3.羽毛球场，预计4万元，212平方米,
58,6,3,3.排球场，预计17万元，308平方米,
59,6,4,3.门球场，预计34万元，483平方米,
60,6,5,3.网球场，预计10万元，545平方米,
61,6,6,3.篮球场，预计22万元，567平方米,
62,6,7,3.轮滑场，预计91万元，763平方米,
63,6,8,3.篮球馆，预计284万元，866平方米,
64,6,9,3.游泳馆，预计88万元，917平方米,
65,6,10,3.羽毛球馆，预计202万元，934平方米,
66,6,11,3.综合馆，预计474万元，2765平方米,
67,7,1,3.乒乓球馆，预计15万元，87平方米,
68,7,2,3.羽毛球场，预计4万元，212平方米,
69,7,3,3.排球场，预计17万元，308平方米,
70,7,4,3.门球场，预计34万元，483平方米,
71,7,5,3.网球场，预计10万元，545平方米,
72,7,6,3.篮球场，预计22万元，567平方米,
73,7,7,3.轮滑场，预计91万元，763平方米,
74,7,8,3.篮球馆，预计284万元，866平方米,
75,7,9,3.游泳馆，预计88万元，917平方米,
76,7,10,3.羽毛球馆，预计202万元，934平方米,
77,7,11,3.综合馆，预计474万元，2765平方米,
78,8,1,3.乒乓球馆，预计15万元，87平方米,
79,8,2,3.羽毛球场，预计4万元，212平方米,
80,8,3,3.排球场，预计17万元，308平方米,
81,8,4,3.门球场，预计34万元，483平方米,
82,8,5,3.网球场，预计10万元，545平方米,
83,8,6,3.篮球场，预计22万元，567平方米,
84,8,7,3.轮滑场，预计91万元，763平方米,
85,8,8,3.篮球馆，预计284万元，866平方米,
86,8,9,3.游泳馆，预计88万元，917平方米,
87,8,10,3.羽毛球馆，预计202万元，934平方米,
88,8,11,3.综合馆，预计474万元，2765平方米,
89,9,1,3.乒乓球馆，预计15万元，87平方米,
90,9,2,3.羽毛球场，预计4万元，212平方米,
91,9,3,3.排球场，预计17万元，308平方米,
92,9,4,3.门球场，预计34万元，483平方米,
93,9,5,3.网球场，预计10万元，545平方米,
94,9,6,3.篮球场，预计22万元，567平方米,
95,9,7,3.轮滑场，预计91万元，763平方米,
96,9,8,3.篮球馆，预计284万元，866平方米,
97,9,9,3.游泳馆，预计88万元，917平方米,
98,9,10,3.羽毛球馆，预计202万元，934平方米,
99,9,11,3.综合馆，预计474万元，2765平方米,
100,10,1,3.乒乓球馆，预计15万元，87平方米,
101,10,2,3.羽毛球场，预计4万元，212平方米,
102,10,3,3.排球场，预计17万元，308平方米,
103,10,4,3.门球场，预计34万元，483平方米,
104,10,5,3.网球场，预计10万元，545平方米,
105,10,6,3.篮球场，预计22万元，567平方米,
106,10,7,3.轮滑场，预计91万元，763平方米,
107,10,8,3.篮球馆，预计284万元，866平方米,
108,10,9,3.游泳馆，预计88万元，917平方米,
109,10,10,3.小运动场，预计60万元，1020平方米,
110,10,11,3.综合馆，预计474万元，2765平方米,
111,11,1,3.乒乓球馆，预计15万元，87平方米,
112,11,2,3.羽毛球场，预计4万元，212平方米,
113,11,3,3.排球场，预计17万元，308平方米,
114,11,4,3.门球场，预计34万元，483平方米,
115,11,5,3.网球场，预计10万元，545平方米,
116,11,6,3.篮球场，预计22万元，567平方米,
117,11,7,3.轮滑场，预计91万元，763平方米,
118,11,8,3.篮球馆，预计284万元，866平方米,
119,11,9,3.游泳馆，预计88万元，917平方米,
120,11,10,3.羽毛球馆，预计202万元，934平方米,
121,11,11,3.综合馆，预计474万元，2765平方米,
122,12,1,3.乒乓球馆，预计15万元，87平方米,
123,12,2,3.羽毛球场，预计4万元，212平方米,
124,12,3,3.排球场，预计17万元，308平方米,
125,12,4,3.门球场，预计34万元，483平方米,
126,12,5,3.网球场，预计10万元，545平方米,
127,12,6,3.篮球场，预计22万元，567平方米,
128,12,7,3.轮滑场，预计91万元，763平方米,
129,12,8,3.篮球馆，预计284万元，866平方米,
130,12,9,3.游泳馆，预计88万元，917平方米,
131,12,10,3.羽毛球馆，预计202万元，934平方米,
132,12,11,3.综合馆，预计474万元，2765平方米,
