id,dotid,lat,lng,value,info,type,name,label1,label2
1,1,31.557555,120.383722,20,体育场<br/>新吴区江溪体育公园游泳馆,1,体育场,2,6
2,2,31.540727,120.352721,20,体育场<br/>新吴区米高516溜冰场,1,体育场,2,6
3,3,31.572082,120.346776,20,体育场<br/>新吴区南方篮球馆,1,体育场,2,6
4,4,31.511515,120.50943,20,体育场<br/>新吴区鸿山游泳馆,1,体育场,2,6
5,5,31.538738,120.437362,20,体育场<br/>新吴区梅村中学游泳馆,1,体育场,2,6
6,6,31.540907,120.375782,20,体育场<br/>新吴区春丰溜冰场,1,体育场,2,6
7,7,31.533656,120.430991,20,体育场<br/>新吴区实验小学体育馆,1,体育场,2,6
8,8,31.559609,120.363613,20,体育场<br/>新吴区慕尚篮球青少年训练营,1,体育场,2,6
9,9,31.48847,120.455773,20,体育场<br/>新吴区九洲健身游泳馆,1,体育场,2,6
10,10,31.56515,120.385603,20,体育场<br/>新吴区圣谊足球馆,1,体育场,2,6
11,11,31.572281,120.347302,20,体育场<br/>新吴区CD室内篮球足球,1,体育场,2,6
12,12,31.536126,120.357668,20,体育场<br/>新吴区足球场,1,体育场,2,6
13,13,31.552714,120.405493,20,体育场<br/>新吴区fly球馆,1,体育场,2,6
14,14,31.519144,120.38751,20,体育场<br/>新吴区羽毛球乒乓球馆,1,体育场,2,6
15,15,31.536823,120.3509,20,体育场<br/>新吴区CD球馆(宝龙店),1,体育场,2,6
16,16,31.572252,120.347168,20,体育场<br/>新吴区CD球馆(新区店),1,体育场,2,6
17,17,31.57237,120.347257,20,体育场<br/>新吴区桃子球馆,1,体育场,2,6
18,18,31.572303,120.347266,20,体育场<br/>新吴区球徒球馆,1,体育场,2,6
19,19,31.53667,120.35084,20,体育场<br/>新吴区青春羽毛球馆,1,体育场,2,6
20,20,31.571057,120.34336,20,体育场<br/>新吴区SLAM DUNK篮球社,1,体育场,2,6
