id,lat,lng,value,label2
1,31.559113,120.331665,40,7
2,31.56957,120.33484,38,7
3,31.560036,120.347,44,7
4,31.540354,120.351135,44,7
5,31.543335,120.3708,44,7
6,31.548674,120.36496,38,7
7,31.561876,120.37418,40,7
8,31.562012,120.38923,44,7
9,31.56853,120.40519,36,7
10,31.545462,120.41896,38,7
11,31.533993,120.435074,34,7
12,31.538225,120.43675,34,7
13,31.534916,120.43949,34,7
14,31.675276,120.35785,34,7
15,31.522818,120.43431,38,7
16,31.49891,120.43401,34,7
17,31.521282,120.44825,38,7
18,31.471127,120.440994,34,7
19,31.476477,120.445656,34,7
20,31.49406,120.48362,36,7
