id,dotid,lat,lng,value,info,type,name,label1,label2
1,1,31.5478274,120.4384438,10,体育器材需求点1,ok,点1,3,2
2,2,31.480315,120.389353,10,体育器材需求点2,ok,点2,3,2
3,3,31.57106,120.318779,10,体育器材需求点3,ok,点3,3,2
4,4,31.47587033,120.3898677,10,体育器材需求点4,ok,点4,3,2
5,5,31.57148783,120.3348862,10,体育器材需求点5,ok,点5,3,2
6,6,31.47833929,120.4549561,10,体育器材需求点6,ok,点6,3,2
7,7,31.5480005,120.3477455,10,体育器材需求点7,ok,点7,3,2
8,8,31.47858575,120.4498045,10,体育器材需求点8,ok,点8,3,2
9,9,31.56730833,120.3888657,10,体育器材需求点9,ok,点9,3,2
10,10,31.5480515,120.3721077,10,体育器材需求点10,ok,点10,3,2
11,11,31.507808,120.40506,10,体育器材需求点11,ok,点11,3,2
12,12,31.5600645,120.3874735,10,体育器材需求点12,ok,点12,3,2
13,13,31.520412,120.5016138,10,体育器材需求点13,ok,点13,3,2
14,14,31.509085,120.3998383,10,体育器材需求点14,ok,点14,3,2
15,15,31.519754,120.517279,10,体育器材需求点15,ok,点15,3,2
16,16,31.5576,120.327919,10,体育器材需求点16,ok,点16,3,2
17,17,31.560602,120.322104,10,体育器材需求点17,ok,点17,3,2
18,18,31.472469,120.447096,10,体育器材需求点18,ok,点18,3,2
19,19,31.5645295,120.3682375,10,体育器材需求点19,ok,点19,3,2
20,20,31.532843,120.43435,10,体育器材需求点20,ok,点20,3,2
21,21,31.575681,120.407806,10,体育器材需求点21,ok,点21,3,2
22,22,31.49891,120.43401,10,体育器材需求点22,ok,点22,3,2
23,23,31.469028,120.434521,10,体育器材需求点23,ok,点23,3,2
24,24,31.54236867,120.38154,10,体育器材需求点24,ok,点24,3,2
25,25,31.57714133,120.330359,10,体育器材需求点25,ok,点25,3,2
26,26,31.56505067,120.400874,10,体育器材需求点26,ok,点26,3,2
27,27,31.48843833,120.4976787,10,体育器材需求点27,ok,点27,3,2
28,28,31.5618345,120.3452775,10,体育器材需求点28,ok,点28,3,2
29,29,31.5439636,120.3749648,10,体育器材需求点29,ok,点29,3,2
30,30,31.548841,120.3770145,10,体育器材需求点30,ok,点30,3,2
31,31,31.52843667,120.5043933,10,体育器材需求点31,ok,点31,3,2
32,32,31.534945,120.41463,10,体育器材需求点32,ok,点32,3,2
33,33,31.5643395,120.331717,10,体育器材需求点33,ok,点33,3,2
34,34,31.5460686,120.419072,10,体育器材需求点34,ok,点34,3,2
35,35,31.574972,120.336264,10,体育器材需求点35,ok,点35,3,2
36,36,31.5428735,120.3540825,10,体育器材需求点36,ok,点36,3,2
37,37,31.575685,120.3219473,10,体育器材需求点37,ok,点37,3,2
38,38,31.56665,120.396991,10,体育器材需求点38,ok,点38,3,2
39,39,31.473677,120.383945,10,体育器材需求点39,ok,点39,3,2
40,40,31.5744896,120.3741342,10,体育器材需求点40,ok,点40,3,2
41,41,31.5601055,120.338905,10,体育器材需求点41,ok,点41,3,2
42,42,31.47427767,120.4408403,10,体育器材需求点42,ok,点42,3,2
43,43,31.5638825,120.3467365,10,体育器材需求点43,ok,点43,3,2
44,44,31.49371967,120.4697263,10,体育器材需求点44,ok,点44,3,2
45,45,31.4961525,120.487602,10,体育器材需求点45,ok,点45,3,2
46,46,31.552927,120.3669983,10,体育器材需求点46,ok,点46,3,2
47,47,31.56916133,120.3700117,10,体育器材需求点47,ok,点47,3,2
48,48,31.5621635,120.3268035,10,体育器材需求点48,ok,点48,3,2
49,49,31.54936267,120.4491693,10,体育器材需求点49,ok,点49,3,2
50,50,31.484951,120.374255,10,体育器材需求点50,ok,点50,3,2
51,51,31.55626967,120.391217,10,体育器材需求点51,ok,点51,3,2
52,52,31.558695,120.332678,10,体育器材需求点52,ok,点52,3,2
53,53,31.57106,120.324744,10,体育器材需求点53,ok,点53,3,2
54,54,31.5429724,120.3719368,10,体育器材需求点54,ok,点54,3,2
55,55,31.527336,120.4957573,10,体育器材需求点55,ok,点55,3,2
56,56,31.454953,120.466021,10,体育器材需求点56,ok,点56,3,2
57,57,31.4873465,120.449456,10,体育器材需求点57,ok,点57,3,2
58,58,31.571623,120.404415,10,体育器材需求点58,ok,点58,3,2
59,59,31.56051067,120.347539,10,体育器材需求点59,ok,点59,3,2
60,60,31.4815095,120.444864,10,体育器材需求点60,ok,点60,3,2
61,61,31.532998,120.435916,10,体育器材需求点61,ok,点61,3,2
62,62,31.4909285,120.4840615,10,体育器材需求点62,ok,点62,3,2
63,63,31.5285525,120.497538,10,体育器材需求点63,ok,点63,3,2
64,64,31.535705,120.437032,10,体育器材需求点64,ok,点64,3,2
65,65,31.464398,120.4519015,10,体育器材需求点65,ok,点65,3,2
66,66,31.57683633,120.3264967,10,体育器材需求点66,ok,点66,3,2
67,67,31.5745055,120.317931,10,体育器材需求点67,ok,点67,3,2
68,68,31.566771,120.3358405,10,体育器材需求点68,ok,点68,3,2
69,69,31.54995267,120.3685717,10,体育器材需求点69,ok,点69,3,2
70,70,31.495763,120.45761,10,体育器材需求点70,ok,点70,3,2
71,71,31.5459425,120.3696753,10,体育器材需求点71,ok,点71,3,2
72,72,31.548954,120.432962,10,体育器材需求点72,ok,点72,3,2
73,73,31.56639467,120.3627587,10,体育器材需求点73,ok,点73,3,2
74,74,31.5681055,120.4061245,10,体育器材需求点74,ok,点74,3,2
75,75,31.56469767,120.319887,10,体育器材需求点75,ok,点75,3,2
76,76,31.479285,120.393944,10,体育器材需求点76,ok,点76,3,2
77,77,31.5337515,120.435152,10,体育器材需求点77,ok,点77,3,2
78,78,31.5221465,120.431399,10,体育器材需求点78,ok,点78,3,2
79,79,31.52473867,120.421897,10,体育器材需求点79,ok,点79,3,2
80,80,31.48186575,120.497339,10,体育器材需求点80,ok,点80,3,2
81,81,31.5389145,120.4295005,10,体育器材需求点81,ok,点81,3,2
82,82,31.547663,120.3579433,10,体育器材需求点82,ok,点82,3,2
83,83,31.54011367,120.3520703,10,体育器材需求点83,ok,点83,3,2
84,84,31.553936,120.3722937,10,体育器材需求点84,ok,点84,3,2
85,85,31.5183345,120.3713603,10,体育器材需求点85,ok,点85,3,2
86,86,31.5363585,120.4453253,10,体育器材需求点86,ok,点86,3,2
87,87,31.5334005,120.431711,10,体育器材需求点87,ok,点87,3,2
