id,dotid,lat,lng,value,info,type,name,label1,label2,label3
1,1,31.544066,120.365782,45,建议修建数量：45,ok,点1,4,1,1
2,2,31.540066,120.424782,42,建议修建数量：42,ok,点2,4,1,1
3,3,31.530066,120.485782,29,建议修建数量：29,ok,点3,4,1,1
4,4,31.475066,120.424782,43,建议修建数量：43,ok,点4,4,1,1
5,5,31.475066,120.484782,41,建议修建数量：41,ok,点5,4,1,1
6,6,31.544066,120.365782,47,建议修建数量：47,ok,点1,4,1,2
7,7,31.540066,120.424782,38,建议修建数量：38,ok,点2,4,1,2
8,8,31.530066,120.485782,30,建议修建数量：30,ok,点3,4,1,2
9,9,31.475066,120.424782,45,建议修建数量：45,ok,点4,4,1,2
10,10,31.475066,120.484782,39,建议修建数量：39,ok,点5,4,1,2
11,11,31.544066,120.365782,45,建议修建数量：45,ok,点1,4,1,3
12,12,31.540066,120.424782,42,建议修建数量：42,ok,点2,4,1,3
13,13,31.530066,120.485782,29,建议修建数量：29,ok,点3,4,1,3
14,14,31.475066,120.424782,41,建议修建数量：41,ok,点4,4,1,3
15,15,31.475066,120.484782,43,建议修建数量：43,ok,点5,4,1,3
16,16,31.544066,120.365782,43,建议修建数量：43,ok,点1,4,1,4
17,17,31.540066,120.424782,43,建议修建数量：43,ok,点2,4,1,4
18,18,31.530066,120.485782,29,建议修建数量：29,ok,点3,4,1,4
19,19,31.475066,120.424782,48,建议修建数量：48,ok,点4,4,1,4
20,20,31.475066,120.484782,37,建议修建数量：37,ok,点5,4,1,4
21,21,31.544066,120.365782,45,建议修建数量：45,ok,点1,4,1,5
22,22,31.540066,120.424782,39,建议修建数量：39,ok,点2,4,1,5
23,23,31.530066,120.485782,29,建议修建数量：29,ok,点3,4,1,5
24,24,31.475066,120.424782,45,建议修建数量：45,ok,点4,4,1,5
25,25,31.475066,120.484782,42,建议修建数量：42,ok,点5,4,1,5
26,26,31.544066,120.365782,48,建议修建数量：48,ok,点1,4,1,6
27,27,31.540066,120.424782,39,建议修建数量：39,ok,点2,4,1,6
28,28,31.530066,120.485782,28,建议修建数量：28,ok,点3,4,1,6
29,29,31.475066,120.424782,44,建议修建数量：44,ok,点4,4,1,6
30,30,31.475066,120.484782,41,建议修建数量：41,ok,点5,4,1,6
31,31,31.544066,120.365782,44,建议修建数量：44,ok,点1,4,1,7
32,32,31.540066,120.424782,40,建议修建数量：40,ok,点2,4,1,7
33,33,31.530066,120.485782,29,建议修建数量：29,ok,点3,4,1,7
34,34,31.475066,120.424782,42,建议修建数量：42,ok,点4,4,1,7
35,35,31.475066,120.484782,44,建议修建数量：44,ok,点5,4,1,7
36,36,31.544066,120.365782,40,建议修建数量：40,ok,点1,4,1,8
37,37,31.540066,120.424782,43,建议修建数量：43,ok,点2,4,1,8
38,38,31.530066,120.485782,30,建议修建数量：30,ok,点3,4,1,8
39,39,31.475066,120.424782,43,建议修建数量：43,ok,点4,4,1,8
40,40,31.475066,120.484782,44,建议修建数量：44,ok,点5,4,1,8
41,41,31.544066,120.365782,46,建议修建数量：46,ok,点1,4,1,9
42,42,31.540066,120.424782,40,建议修建数量：40,ok,点2,4,1,9
43,43,31.530066,120.485782,31,建议修建数量：31,ok,点3,4,1,9
44,44,31.475066,120.424782,45,建议修建数量：45,ok,点4,4,1,9
45,45,31.475066,120.484782,37,建议修建数量：37,ok,点5,4,1,9
46,46,31.544066,120.365782,46,建议修建数量：46,ok,点1,4,1,10
47,47,31.540066,120.424782,36,建议修建数量：36,ok,点2,4,1,10
48,48,31.530066,120.485782,31,建议修建数量：31,ok,点3,4,1,10
49,49,31.475066,120.424782,45,建议修建数量：45,ok,点4,4,1,10
50,50,31.475066,120.484782,41,建议修建数量：41,ok,点5,4,1,10
51,51,31.544066,120.365782,0,建议修建数量：0,ok,点1,4,1,11
52,52,31.540066,120.424782,0,建议修建数量：0,ok,点2,4,1,11
53,53,31.530066,120.485782,77,建议修建数量：77,ok,点3,4,1,11
54,54,31.475066,120.424782,97,建议修建数量：97,ok,点4,4,1,11
55,55,31.475066,120.484782,12,建议修建数量：12,ok,点5,4,1,11
56,56,31.544066,120.365782,42,建议修建数量：42,ok,点1,4,1,12
57,57,31.540066,120.424782,40,建议修建数量：40,ok,点2,4,1,12
58,58,31.530066,120.485782,32,建议修建数量：32,ok,点3,4,1,12
59,59,31.475066,120.424782,46,建议修建数量：46,ok,点4,4,1,12
60,60,31.475066,120.484782,40,建议修建数量：40,ok,点5,4,1,12
61,61,31.544066,120.365782,45,建议修建数量：45,ok,点1,4,1,13
62,62,31.540066,120.424782,39,建议修建数量：39,ok,点2,4,1,13
63,63,31.530066,120.485782,28,建议修建数量：28,ok,点3,4,1,13
64,64,31.475066,120.424782,44,建议修建数量：44,ok,点4,4,1,13
