id,dotid,lat,lng,value,type,label1,label2,radar
1,1,31.55013375,120.4400391,20,ok,5,1,1
2,2,31.48017879,120.3885923,20,ok,5,1,2
3,3,31.57123475,120.3188636,20,ok,5,1,3
4,4,31.47572907,120.390286,20,ok,5,1,4
5,5,31.57182468,120.3344862,20,ok,5,1,5
6,6,31.47669558,120.454311,20,ok,5,1,6
7,7,31.54753786,120.3470474,20,ok,5,1,7
8,8,31.47806081,120.449776,20,ok,5,1,8
9,9,31.56774016,120.3902152,20,ok,5,1,9
10,10,31.54812593,120.3725406,20,ok,5,1,10
11,11,31.50606708,120.4065149,20,ok,5,1,11
12,12,31.56051063,120.3877958,20,ok,5,1,12
13,13,31.52140824,120.5043385,20,ok,5,1,13
14,14,31.50954525,120.3993267,20,ok,5,1,14
15,15,31.51901418,120.5179287,20,ok,5,1,15
16,16,31.55758615,120.3274758,20,ok,5,1,16
17,17,31.56030116,120.3208763,20,ok,5,1,17
18,18,31.47143187,120.4490242,20,ok,5,1,18
19,19,31.56525731,120.3686829,20,ok,5,1,19
20,20,31.53275761,120.4349702,20,ok,5,1,20
21,21,31.57599021,120.4070097,20,ok,5,1,21
22,22,31.49838742,120.4353979,20,ok,5,1,22
23,23,31.46788169,120.4348003,20,ok,5,1,23
24,24,31.54192887,120.383106,20,ok,5,1,24
25,25,31.57847318,120.3269689,20,ok,5,1,25
26,26,31.56476836,120.4016114,20,ok,5,1,26
27,27,31.48852696,120.4978055,20,ok,5,1,27
28,28,31.56177201,120.3446616,20,ok,5,1,28
29,29,31.54358112,120.3746929,20,ok,5,1,29
30,30,31.55047009,120.3741981,20,ok,5,1,30
31,31,31.5281751,120.5057315,20,ok,5,1,31
32,32,31.53471392,120.4158665,20,ok,5,1,32
33,33,31.56369125,120.3316787,20,ok,5,1,33
34,34,31.54731707,120.4194373,20,ok,5,1,34
35,35,31.57579161,120.3363468,20,ok,5,1,35
36,36,31.54322298,120.3543604,20,ok,5,1,36
37,37,31.57661766,120.3200024,20,ok,5,1,37
38,38,31.56699758,120.3973109,20,ok,5,1,38
39,39,31.67589394,120.8303351,20,ok,5,1,39
40,40,31.57439313,120.3736784,20,ok,5,1,40
41,41,31.5617012,120.3373406,20,ok,5,1,41
42,42,31.47281553,120.4413162,20,ok,5,1,42
43,43,31.56457941,120.3453416,20,ok,5,1,43
44,44,31.11414531,120.4942633,20,ok,5,1,44
45,45,31.49718069,120.4886982,20,ok,5,1,45
46,46,31.55198186,120.3682368,20,ok,5,1,46
