id,x,y,s,radar
1,可用面积,7,1,1
2,修建成本,5,1,1
3,人气指数,2,1,1
4,可用面积,7,1,2
5,修建成本,6,1,2
6,人气指数,3,1,2
7,可用面积,3,1,3
8,修建成本,6,1,3
9,人气指数,8,1,3
10,可用面积,5,1,4
11,修建成本,5,1,4
12,人气指数,3,1,4
13,可用面积,3,1,5
14,修建成本,8,1,5
15,人气指数,8,1,5
16,可用面积,3,1,6
17,修建成本,6,1,6
18,人气指数,5,1,6
19,可用面积,2,1,7
20,修建成本,9,1,7
21,人气指数,9,1,7
22,可用面积,2,1,8
23,修建成本,6,1,8
24,人气指数,6,1,8
25,可用面积,4,1,9
26,修建成本,8,1,9
27,人气指数,7,1,9
28,可用面积,4,1,10
29,修建成本,7,1,10
30,人气指数,7,1,10
31,可用面积,7,1,11
32,修建成本,3,1,11
33,人气指数,2,1,11
34,可用面积,4,1,12
35,修建成本,8,1,12
36,人气指数,6,1,12
37,可用面积,6,1,13
38,修建成本,1,1,13
39,人气指数,4,1,13
40,可用面积,6,1,14
41,修建成本,6,1,14
42,人气指数,3,1,14
43,可用面积,6,1,15
44,修建成本,3,1,15
45,人气指数,1,1,15
46,可用面积,1,1,16
47,修建成本,8,1,16
48,人气指数,8,1,16
49,可用面积,3,1,17
50,修建成本,7,1,17
51,人气指数,8,1,17
52,可用面积,3,1,18
53,修建成本,7,1,18
54,人气指数,7,1,18
55,可用面积,2,1,19
56,修建成本,9,1,19
57,人气指数,6,1,19
58,可用面积,6,1,20
59,修建成本,3,1,20
60,人气指数,2,1,20
61,可用面积,7,1,21
62,修建成本,3,1,21
63,人气指数,2,1,21
64,可用面积,7,1,22
65,修建成本,3,1,22
66,人气指数,3,1,22
67,可用面积,6,1,23
68,修建成本,5,1,23
69,人气指数,2,1,23
70,可用面积,3,1,24
71,修建成本,6,1,24
72,人气指数,8,1,24
73,可用面积,4,1,25
74,修建成本,9,1,25
75,人气指数,6,1,25
76,可用面积,4,1,26
77,修建成本,5,1,26
78,人气指数,3,1,26
79,可用面积,2,1,27
80,修建成本,7,1,27
81,人气指数,7,1,27
82,可用面积,1,1,28
83,修建成本,6,1,28
84,人气指数,7,1,28
85,可用面积,3,1,29
86,修建成本,9,1,29
87,人气指数,8,1,29
88,可用面积,2,1,30
89,修建成本,6,1,30
90,人气指数,7,1,30
91,可用面积,8,1,31
92,修建成本,4,1,31
93,人气指数,2,1,31
94,可用面积,6,1,32
95,修建成本,3,1,32
96,人气指数,3,1,32
97,可用面积,3,1,33
98,修建成本,7,1,33
99,人气指数,6,1,33
